rank,team,run_id,model,model_type,f1_score,accuracy,precision,recall,submission_date,submitter,pr_number,submission_path
1,organizers,baseline_mlp,Baseline MLP,organizers,0.32672131147540984,0.3333333333333333,0.22807017543859648,0.3023255813953488,2026-02-07 00:09,participant,,submissions/inbox/organizers/baseline_mlp/predictions.csv
2,organizers,advanced_gnn,Advanced GNN (GraphSAGE),organizers,0.32322885358522974,0.36036036036036034,0.16666666666666666,0.16279069767441862,2026-02-07 00:09,participant,,submissions/inbox/organizers/advanced_gnn/predictions.csv
